Player,Team,Position,player_key,szn_GP,szn_W,szn_L,szn_OT,szn_GA,szn_GAA,szn_SA,szn_SV,szn_SV%,szn_SHO,szn_TOI,l7_GP,l7_W,l7_L,l7_OT,l7_GA,l7_GAA,l7_SA,l7_SV,l7_SV%,l7_SHO,l7_TOI,T_szn_GA,T_szn_SV%,T_szn_GAA,T_szn_W,T_szn_SV,T_szn_SHO,T_l7_GA,T_l7_SV%,T_l7_GAA,T_l7_W,T_l7_SV,T_l7_SHO,Goalie_Index_szn,Goalie_Index_l7
Spencer Knight,CHI,G,,28.0,11.0,11.0,0.0,73.0,2.63,801.0,728.0,0.909,2.0,27:45:12,3.0,1.0,1.0,0.0,9.0,3.44,55.0,46.0,0.836,0.0,02:36:56,22,71,59,73,79,91,15,23,39,62,61,43,65.83333333333333,40.5
Pyotr Kochetkov,CAR,G,,8.0,6.0,2.0,0.0,19.0,2.33,189.0,170.0,0.899,1.0,08:10:09,,,,,,,,,,,-,76,58,71,48,31,71,50,50,50,50,50,50,59.166666666666664,50.0
Mads Sogaard,OTT,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Colten Ellis,BUF,G,,8.0,4.0,3.0,0.0,24.0,3.25,228.0,204.0,0.895,0.0,07:22:47,,,,,,,,,,,-,67,53,35,31,37,21,50,50,50,50,50,50,40.666666666666664,50.0
Isaiah Saville,LA,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Arturs Silovs,PIT,G,,18.0,7.0,5.0,0.0,55.0,3.2,484.0,429.0,0.886,1.0,17:12:37,2.0,2.0,0.0,0.0,6.0,2.99,51.0,45.0,0.882,0.0,02:00:29,32,41,36,54,63,71,37,53,51,88,60,43,49.5,55.333333333333336
Trent Miner,COL,G,,1.0,0.0,0.0,0.0,4.0,2.12,44.0,40.0,0.909,0.0,01:53:13,,,,,,,,,,,-,98,71,79,1,4,21,50,50,50,50,50,50,45.666666666666664,50.0
Dustin Wolf,CGY,G,,30.0,14.0,14.0,0.0,80.0,2.82,806.0,726.0,0.901,2.0,28:20:43,3.0,3.0,0.0,0.0,4.0,1.32,83.0,79.0,0.952,0.0,03:01:53,19,61,51,82,79,91,62,90,94,96,87,43,63.833333333333336,78.66666666666667
Yaroslav Askarov,SJ,G,,26.0,15.0,10.0,0.0,81.0,3.36,780.0,699.0,0.896,0.0,24:08:34,3.0,3.0,0.0,0.0,10.0,3.24,92.0,82.0,0.891,0.0,03:05:00,19,54,31,84,78,21,11,59,44,96,88,43,47.833333333333336,56.833333333333336
Leevi Merilainen,OTT,G,,11.0,5.0,7.0,0.0,39.0,3.46,304.0,265.0,0.872,0.0,11:15:59,2.0,1.0,2.0,0.0,9.0,3.68,69.0,60.0,0.87,0.0,02:26:45,47,24,28,40,46,21,15,44,33,62,76,43,34.333333333333336,45.5
Calle Clang,ANA,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Nico Daws,NJ,G,,1.0,1.0,0.0,0.0,1.0,1.0,31.0,30.0,0.968,0.0,01:00:00,,,,,,,,,,,-,99,99,99,5,2,21,50,50,50,50,50,50,54.166666666666664,50.0
Dylan Garand,NYR,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Jesper Vikman,VGK,G,,,,,,,,,,,,-,,,,,,,,,,,-,50,50,50,50,50,50,50,50,50,50,50,50,50.0,50.0
Devin Cooley,CGY,G,,10.0,4.0,4.0,0.0,28.0,2.4,327.0,299.0,0.914,0.0,11:39:37,,,,,,,,,,,-,61,76,68,31,50,21,50,50,50,50,50,50,51.166666666666664,50.0
