Player,Team,team_name,Elig_Pos,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Brayden Schenn,STL,P Diddlers,C;LW,23,0:16:51,0.62,0.62,5.11,7.43,1.39,2.48,19.34,7.0,0:16:51,1.02,0.0,7.63,6.1,0.51,0.0,12.71,23.0,0:01:48,1.44,7.0,0:01:34,0.0,F,49,36,17,39,87,72,30,69,74,11,10,72,80,67,14,17,45.6,57.0,49.02,49.4,32.666666666666664,44.38
Oliver Ekman-Larsson,TOR,Bros before Ahos,D,22,0:20:58,0.39,1.69,4.16,4.42,3.12,2.08,0.0,7.0,0:22:06,0.78,1.55,5.82,4.27,3.88,0.78,0.0,22.0,0:01:58,4.16,7.0,0:02:19,0.0,D,83,93,60,65,50,73,25,67,94,86,8,82,50,74,48,40,70.2,55.0,65.64,64.0,54.0,61.0
Nazem Kadri,CGY,Autodraft Anomalies,C,24,0:20:11,0.5,1.73,9.53,2.23,0.87,0.99,18.07,7.0,0:20:10,0.0,2.97,11.05,2.97,0.42,0.0,21.67,24.0,0:03:58,4.4,7.0,0:03:35,7.16,F,39,84,62,87,86,25,14,36,16,96,82,89,89,40,12,17,71.6,25.0,57.61999999999999,74.4,23.0,58.98
Dmitry Kulikov,FLA,,,2,0:10:46,0.0,0.0,2.78,2.78,0.0,0.0,0.0,,,,,,,,,,,,,,,,D,19,6,50,32,50,51,1,6,50,50,50,50,50,50,50,50,31.4,19.33333333333333,27.78,50.0,50.0,50.0
Nick Leddy,S.J,,,9,0:17:30,0.0,0.76,1.14,0.76,5.71,1.52,0.0,2.0,0:18:35,0.0,0.0,3.23,0.0,8.07,0.0,0.0,,,,,,,D,19,58,50,2,50,11,79,53,26,14,50,45,50,4,92,14,35.8,47.66666666666666,39.35999999999999,37.0,36.66666666666666,36.9
Chris Kreider,ANA,Bros before Ahos,LW,18,0:16:40,2.0,1.0,8.19,1.4,1.0,2.0,0.4,7.0,0:17:01,0.5,1.01,6.54,0.5,1.01,1.01,1.01,18.0,0:03:17,7.09,7.0,0:02:19,0.0,F,96,58,83,78,18,15,18,61,47,61,10,62,28,8,29,46,66.6,31.33333333333333,56.01999999999999,41.6,27.666666666666668,37.42
Brayden McNabb,VGK,Jagrbombs,D,22,0:21:17,0.0,0.13,1.92,4.48,8.58,1.28,0.0,7.0,0:21:23,0.0,0.0,2.4,6.01,6.41,2.4,0.0,,,,,,,D,19,12,50,12,50,74,97,46,26,14,50,27,50,86,83,74,28.6,72.33333333333333,41.72,33.4,81.0,47.68
Reilly Smith,VGK,,,22,0:13:37,0.6,0.6,5.2,2.4,1.0,0.4,0.0,7.0,0:13:53,1.23,1.23,4.94,1.23,1.23,1.23,0.0,,,,,,,F,47,35,50,40,12,27,18,19,80,69,50,43,14,18,37,51,36.8,21.33333333333333,32.16,51.2,35.333333333333336,46.44
Dmitry Orlov,S.J,Autodraft Anomalies,D,23,0:22:02,0.0,1.54,3.55,3.79,3.67,1.66,0.0,7.0,0:20:52,0.0,0.82,3.28,3.28,4.11,0.0,0.0,23.0,0:02:31,5.16,7.0,0:02:44,3.13,D,19,91,70,52,50,66,39,57,26,62,53,46,50,63,52,14,56.4,54.0,55.67999999999999,47.4,43.0,46.08
Brian Dumoulin,L.A,,,23,0:19:26,0.0,0.4,2.95,2.15,4.29,0.54,0.0,7.0,0:19:12,0.0,0.89,2.23,2.23,4.46,0.89,0.0,,,,,,,D,19,30,50,36,50,39,53,21,26,65,50,23,50,47,58,43,37.0,37.66666666666666,37.2,42.8,49.333333333333336,44.76
Mattias Ekholm,EDM,,,24,0:20:32,0.24,0.97,5.97,2.31,5.84,0.97,0.0,7.0,0:21:30,0.4,0.8,6.78,3.59,3.99,1.59,0.0,,,,,,,D,63,71,50,89,50,42,80,36,74,61,50,89,50,67,50,61,64.6,52.66666666666666,61.01999999999999,64.8,59.333333333333336,63.16
Marcus Foligno,MIN,,,22,0:13:22,0.0,0.41,3.87,15.09,4.49,6.12,0.2,7.0,0:13:28,0.0,0.64,4.46,13.37,5.73,3.18,0.64,,,,,,,F,7,24,50,19,15,92,92,94,16,44,50,36,23,89,96,79,23.0,92.66666666666669,43.9,33.8,88.0,50.06
Casey Cizikas,NYI,,,23,0:09:48,0.27,1.06,3.99,14.88,4.25,1.59,16.21,7.0,0:08:43,0.0,1.97,2.95,16.71,2.95,0.0,10.81,,,,,,,F,22,61,50,21,84,92,91,52,16,87,50,15,77,93,77,17,47.6,78.33333333333333,56.81999999999999,49.0,62.333333333333336,53.0
Nicolas Deslauriers,PHI,,,11,0:08:15,0.0,0.0,2.64,25.75,1.98,9.9,0.66,5.0,0:08:58,0.0,0.0,2.67,29.39,2.67,6.68,1.34,,,,,,,F,7,5,50,5,22,98,50,98,16,11,50,12,32,98,73,94,17.8,82.0,37.06,24.2,88.33333333333333,43.44
Ben Chiarot,DET,The Epstein Islanders,D,23,0:20:57,0.25,0.5,2.86,6.35,5.85,2.99,0.0,7.0,0:22:01,0.39,0.78,2.72,5.45,7.4,7.79,0.0,,,,,,,D,65,38,50,34,50,87,81,82,73,60,50,34,50,83,89,97,47.4,83.33333333333333,58.17999999999999,53.4,89.66666666666667,64.28
Erik Haula,NSH,,,22,0:16:10,0.51,1.35,4.72,5.23,1.69,3.04,20.92,7.0,0:16:30,0.0,1.56,3.12,4.67,2.08,0.0,18.18,22.0,0:01:29,7.35,7.0,0:01:50,9.28,F,40,73,84,32,88,57,41,76,16,79,88,18,86,57,61,17,63.4,58.0,61.78,57.4,45.0,53.68
Anders Lee,NYI,,,23,0:15:15,0.68,1.37,9.75,3.76,2.74,3.25,2.39,7.0,0:15:39,0.55,0.0,7.12,2.74,1.64,3.83,1.09,23.0,0:01:39,1.57,,,,F,53,74,20,88,41,43,71,79,50,11,50,67,29,38,49,84,55.2,64.33333333333333,57.94,41.4,57.0,46.08
Nick Jensen,OTT,,,22,0:17:36,0.15,0.77,2.32,2.79,3.56,0.93,0.0,7.0,0:15:22,0.56,1.11,1.67,1.11,3.34,0.0,0.0,,,,,,,D,46,58,50,20,50,51,36,35,86,74,50,13,50,24,37,14,44.8,40.66666666666666,43.56,54.6,25.0,45.72
