Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP
Andrei Kuzmenko,L.A,L,13,00:16:03,0.86,1.15,5.46,3.74,1.44,0.57,0.0,7.0,00:15:45,0.54,1.09,5.44,2.18,1.63,0.0,0.0,13.0,00:03:11,4.33,7.0,00:03:43,2.31
Parker Ford,WPG,C,5,00:10:48,0.0,1.11,4.44,14.44,7.77,2.22,13.33,3.0,00:10:29,0.0,1.91,3.81,19.06,11.43,0.0,13.34,,,,,,
Max Sasson,VAN,C,10,00:10:09,1.77,0.0,5.32,2.36,6.5,0.0,10.63,7.0,00:10:06,0.85,0.0,4.24,1.7,8.48,0.0,11.87,,,,,,
Connor Bedard,CHI,C,12,00:21:12,1.41,2.12,8.72,1.18,0.94,2.83,10.61,7.0,00:21:47,1.57,1.97,12.19,1.18,0.79,2.36,12.19,12.0,00:03:05,6.47,,,
Zach Benson,BUF,L,8,00:19:02,0.0,3.15,6.3,1.58,2.36,2.36,0.79,6.0,00:19:40,0.0,1.53,6.1,1.02,2.54,2.03,1.02,8.0,00:03:31,6.38,6.0,00:03:54,2.56
Gavin Brindley,COL,C,12,00:08:41,0.58,0.58,6.91,6.91,2.3,1.15,1.15,6.0,00:08:24,0.0,1.19,8.33,8.33,2.38,2.38,0.0,,,,,,
Leo Carlsson,ANA,C,11,00:18:49,1.45,3.19,7.83,0.29,2.03,0.58,19.71,7.0,00:19:27,1.32,3.08,6.17,0.44,1.76,0.88,18.5,11.0,00:03:49,7.13,7.0,00:03:44,4.57
Easton Cowan,TOR,R,9,00:12:44,0.52,1.57,7.84,5.75,1.57,0.0,0.52,6.0,00:12:27,0.8,1.6,9.63,4.01,2.41,0.0,0.8,,,,,,
Dalibor Dvorsky,STL,R,2,00:15:55,0.0,0.0,5.65,5.65,1.88,0.0,32.01,2.0,00:15:55,0.0,0.0,5.65,5.65,1.88,0.0,32.01,,,,,,
Adam Fantilli,CBJ,C,12,00:15:55,0.63,1.26,7.85,5.03,1.88,1.26,12.88,7.0,00:15:59,0.54,1.07,6.97,5.9,1.61,0.0,12.33,12.0,00:01:23,0.0,,,
Samuel Honzek,CGY,L,12,00:12:22,0.4,0.4,7.28,10.92,1.21,0.0,1.62,7.0,00:12:31,0.68,0.68,6.16,9.58,1.37,0.0,2.74,,,,,,
Ryan Leonard,WSH,R,12,00:12:49,1.17,1.17,7.8,6.63,1.56,2.34,1.17,7.0,00:13:07,1.31,1.96,6.53,5.23,1.96,2.61,1.96,12.0,00:01:37,3.08,7.0,00:02:04,4.15
Bradly Nadeau,CAR,L,4,00:10:46,1.39,0.0,5.57,4.17,2.78,0.0,0.0,4.0,00:10:46,1.39,0.0,5.57,4.17,2.78,0.0,0.0,,,,,,
Calum Ritchie,NYI,C,2,00:15:06,0.0,0.0,1.99,0.0,1.99,7.94,9.93,2.0,00:15:06,0.0,0.0,1.99,0.0,1.99,7.94,9.93,,,,,,
Axel Sandin-Pellikka,DET,D,13,00:18:36,0.25,0.74,4.22,0.74,4.22,1.49,0.0,7.0,00:17:24,0.0,1.48,3.94,1.48,1.97,0.0,0.0,13.0,00:01:34,5.83,7.0,00:01:43,9.9
Will Smith,S.J,C,13,00:18:19,1.01,1.76,6.3,1.51,1.51,2.01,0.25,7.0,00:19:41,1.74,1.31,5.22,0.0,1.31,1.74,0.44,13.0,00:03:28,2.65,7.0,00:03:29,0.0
Tom Willander,VAN,D,3,00:15:58,0.0,0.0,5.01,1.25,1.25,0.0,0.0,3.0,00:15:58,0.0,0.0,5.01,1.25,1.25,0.0,0.0,,,,,,
Matthew Wood,NSH,R,6,00:12:13,1.64,1.64,11.46,4.91,2.46,0.0,1.64,6.0,00:12:13,1.64,1.64,11.46,4.91,2.46,0.0,1.64,,,,,,
Sam Malinski,COL,D,13,00:15:03,0.31,1.23,7.97,1.23,4.6,0.61,0.0,7.0,00:14:52,0.0,1.15,8.64,1.15,5.18,1.15,0.0,,,,,,
Uvis Balinskis,FLA,D,9,00:13:26,0.0,0.0,2.48,4.96,3.97,0.99,0.0,6.0,00:13:26,0.0,0.0,2.98,5.21,5.21,1.49,0.0,,,,,,
Zach Metsa,BUF,D,4,00:08:49,0.0,0.0,1.7,1.7,3.4,3.4,0.0,4.0,00:08:49,0.0,0.0,1.7,1.7,3.4,3.4,0.0,,,,,,
Nikolas Matinpalo,OTT,D,8,00:14:16,0.0,0.53,2.63,5.25,3.68,1.05,0.0,6.0,00:13:58,0.0,0.72,2.86,5.72,1.43,1.43,0.0,,,,,,
Dmitri Simashev,UTA,D,12,00:15:41,0.0,0.0,4.78,0.64,4.78,5.1,0.0,7.0,00:17:10,0.0,0.0,3.99,0.0,4.49,1.0,0.0,,,,,,
Matvei Michkov,PHI,R,12,00:14:58,0.33,1.67,7.35,3.01,1.0,3.34,0.0,7.0,00:15:04,0.0,2.84,8.53,3.98,1.71,2.28,0.0,12.0,00:02:26,2.05,7.0,00:02:07,4.04
Charles Alexis Legault,CAR,D,5,00:13:07,0.0,0.0,6.4,3.66,3.66,3.66,0.0,5.0,00:13:07,0.0,0.0,6.4,3.66,3.66,3.66,0.0,,,,,,
Emmitt Finnie,DET,C,13,00:16:49,1.1,1.1,6.58,7.41,2.47,0.0,0.82,7.0,00:17:47,0.96,0.48,5.78,2.89,2.41,0.0,0.96,13.0,00:01:49,2.53,7.0,00:03:23,2.53
Beckett Sennecke,ANA,R,11,00:17:11,1.27,0.95,6.66,3.81,1.59,1.9,0.0,7.0,00:16:31,1.04,0.52,5.71,3.11,1.56,3.11,0.0,11.0,00:01:45,3.09,7.0,00:01:43,0.0
Zayne Parekh,CGY,D,10,00:15:35,0.0,0.38,4.23,1.54,1.92,0.0,0.0,5.0,00:14:31,0.0,0.83,2.48,2.48,0.83,0.0,0.0,10.0,00:02:33,2.35,5.0,00:03:16,3.67
Jett Luchanko,PHI,C,4,00:08:58,0.0,0.0,1.67,3.35,5.02,3.35,18.4,,,,,,,,,,,,,,,
Artyom Levshunov,CHI,D,11,00:14:50,0.0,1.84,3.68,4.41,2.94,3.68,0.0,7.0,00:13:50,0.0,2.48,3.09,4.33,4.33,1.24,0.0,11.0,00:01:28,3.69,,,
Michael Brandsegg-Nygård,DET,R,9,00:12:27,0.0,0.54,7.5,14.99,1.61,1.07,0.0,3.0,00:09:55,0.0,2.01,8.06,14.1,0.0,0.0,0.0,9.0,00:01:24,0.0,,,
Zeev Buium,MIN,D,13,00:19:10,0.48,1.44,4.33,0.72,0.96,0.48,0.0,7.0,00:17:51,0.48,0.96,2.88,0.48,0.0,0.0,0.0,13.0,00:03:35,6.41,7.0,00:02:12,0.0
Berkly Catton,SEA,C,6,00:13:30,0.0,2.22,5.19,0.74,2.96,0.0,0.74,6.0,00:13:30,0.0,2.22,5.19,0.74,2.96,0.0,0.74,,,,,,
Macklin Celebrini,S.J,C,13,00:21:07,1.53,2.4,8.3,2.18,1.53,1.31,26.86,7.0,00:21:54,1.96,2.74,10.17,2.74,1.96,1.57,26.61,13.0,00:03:21,8.26,7.0,00:03:16,10.46
Sam Dickinson,S.J,D,10,00:14:18,0.42,0.0,4.61,2.52,2.52,2.52,0.0,5.0,00:14:19,0.84,0.0,4.19,2.51,4.19,0.0,0.0,,,,,,
Justin Hryckowian,DAL,C,11,00:09:42,0.56,0.0,5.05,9.55,2.25,5.05,5.05,7.0,00:10:50,0.79,0.0,4.74,9.49,1.58,0.0,5.53,,,,,,
Harrison Brunicke,PIT,D,8,00:16:05,0.47,0.0,3.26,1.86,6.06,2.8,0.0,3.0,00:15:58,0.0,0.0,3.76,3.76,10.02,2.5,0.0,,,,,,
Matvei Gridin,CGY,R,4,00:14:43,1.02,0.0,9.17,1.02,3.06,0.0,0.0,,,,,,,,,,,,,,,
Collin Graf,S.J,R,12,00:14:17,0.35,0.7,2.8,5.25,1.75,0.0,0.35,7.0,00:13:46,0.0,0.62,1.25,6.23,1.25,0.0,0.62,,,,,,
Maxim Tsyplakov,NYI,R,8,00:09:23,0.8,0.0,7.19,10.39,0.0,0.0,0.0,5.0,00:09:13,1.3,0.0,6.5,10.4,0.0,0.0,0.0,,,,,,
Ivan Demidov,MTL,R,12,00:13:58,1.07,2.5,5.01,1.43,1.79,2.15,0.0,7.0,00:13:42,1.25,3.13,5.63,1.88,1.88,0.0,0.0,12.0,00:02:06,7.12,7.0,00:01:52,13.72
Matthew Schaefer,NYI,D,12,00:21:55,1.14,1.14,8.21,1.37,2.74,0.46,0.0,7.0,00:21:52,1.57,0.39,8.23,1.57,3.13,0.78,0.0,12.0,00:03:31,7.11,7.0,00:03:50,6.69
Braeden Cootes,VAN,C,3,00:10:46,0.0,0.0,0.0,5.57,1.86,0.0,9.28,,,,,,,,,,,,,,,
Michael Misa,S.J,C,7,00:11:44,0.73,1.46,9.49,1.46,3.65,1.46,14.6,4.0,00:10:21,1.45,1.45,14.48,0.0,4.34,2.9,11.58,7.0,00:02:04,0.0,,,
Brady Martin,NSH,C,3,00:11:25,0.0,1.75,3.5,0.0,3.5,0.0,8.76,1.0,00:10:51,0.0,0.0,11.06,0.0,5.53,0.0,11.06,,,,,,
Ben Kindel,PIT,C,11,00:13:17,1.23,0.0,7.8,2.46,3.69,1.64,16.42,6.0,00:12:44,1.57,0.0,6.28,3.14,3.92,0.0,16.48,11.0,00:01:08,4.77,,,
David Tomasek,EDM,R,11,00:12:20,0.44,0.88,8.39,3.09,0.44,2.65,6.18,6.0,00:11:44,0.85,0.0,7.67,4.26,0.0,0.0,10.22,11.0,00:03:11,3.42,6.0,00:02:54,0.0
Max Shabanov,NYI,R,6,00:11:43,0.85,1.71,6.83,4.27,0.0,0.0,0.0,1.0,00:10:15,0.0,5.85,5.85,0.0,0.0,0.0,0.0,,,,,,
