Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Brandon Duhaime,WSH,R,19,0 days 00:12:36.263157894,0.75,0.25,2.51,10.02,4.01,4.51,0.75,7.0,0 days 00:11:45.428571426,2.19,0.0,2.92,6.56,8.02,3.65,0.73,,,,,,,F,56,16,50,5,24,82,89,88,95,11,50,17,25,71,98,82,30.2,86.33333333333333,47.03999999999999,39.6,83.66666666666667,52.82
Ross Colton,COL,C,19,0 days 00:12:39.631578948,0.75,1.75,9.73,11.22,1.75,1.25,2.99,7.0,0 days 00:13:19.857142860,1.29,1.93,12.22,7.72,0.64,0.0,2.57,,,,,,,F,56,84,50,87,46,86,44,45,81,87,50,92,45,77,20,17,64.6,58.333333333333336,62.71999999999999,71.0,38.0,61.099999999999994
Joona Koppanen,PIT,L,5,0 days 00:12:12,0.0,0.98,2.95,3.93,0.0,1.97,5.9,5.0,0 days 00:12:12,0.0,0.98,2.95,3.93,0.0,1.97,5.9,,,,,,,F,7,57,50,9,63,46,1,61,15,60,50,18,64,53,4,65,37.2,36.0,36.839999999999996,41.4,40.666666666666664,41.17999999999999
Brandon Hagel,T.B,L,18,0 days 00:19:23.777777778,1.2,1.37,8.59,2.06,1.55,1.72,1.03,6.0,0 days 00:16:54.333333336,1.77,1.77,9.46,1.77,1.18,0.0,2.96,18.0,0 days 00:01:42.166666668,5.87,,,,F,80,74,74,80,27,24,37,56,90,84,50,83,48,27,37,17,67.0,39.0,58.599999999999994,71.0,27.0,57.8
Vincent Desharnais,S.J,D,16,0 days 00:16:11.500000002,0.0,0.46,2.32,4.4,6.25,4.63,0.0,7.0,0 days 00:16:47.571428574,0.0,0.51,1.53,3.06,5.61,2.04,0.0,,,,,,,D,19,35,50,23,50,72,82,93,28,42,50,14,50,60,75,69,35.4,82.33333333333333,49.48,36.8,68.0,46.16
Michael Eyssimont,BOS,C,21,0 days 00:11:33.238095240,0.99,1.48,10.63,3.46,2.23,3.71,0.25,7.0,0 days 00:11:44.142857142,0.73,1.46,9.49,4.38,2.19,2.92,0.73,,,,,,,F,70,77,50,91,17,41,58,83,59,77,50,83,25,57,64,76,61.0,60.666666666666664,60.89999999999999,58.8,65.66666666666667,60.86
Michael Carcone,UTA,L,18,0 days 00:10:58.277777778,0.91,0.91,10.33,9.11,1.22,4.86,0.0,7.0,0 days 00:11:40.285714284,0.73,1.47,8.08,11.02,0.0,1.47,0.0,,,,,,,F,66,53,50,90,13,79,26,90,59,77,50,75,14,87,4,56,54.4,65.0,57.58,55.0,49.0,53.2
Justin Brazeau,PIT,R,12,0 days 00:13:28.500000,2.23,2.23,8.16,6.31,4.45,0.0,0.0,,,,,,,,,,,,,,,,F,97,92,50,77,13,66,92,10,50,50,50,50,50,50,50,50,65.8,56.0,62.86,50.0,50.0,50.0
Tanner Jeannot,BOS,L,21,0 days 00:13:21.285714288,0.43,1.5,5.35,11.34,4.71,4.92,0.86,7.0,0 days 00:13:12.714285714,0.0,2.6,5.19,15.57,4.54,7.79,1.3,,,,,,,F,33,78,50,43,25,86,93,90,15,94,50,48,32,93,91,95,45.8,89.66666666666667,58.959999999999994,47.8,93.0,61.35999999999999
Mathieu Olivier,CBJ,R,20,0 days 00:14:27.600000,0.62,1.24,5.6,13.07,3.53,9.13,0.0,7.0,0 days 00:14:02.571428574,1.22,1.22,4.27,10.38,4.27,16.48,0.0,,,,,,,F,47,69,50,47,13,89,84,98,79,70,50,36,14,85,90,99,45.2,90.33333333333333,58.739999999999995,49.8,91.33333333333333,62.25999999999999
Trevor Moore,L.A,L,19,0 days 00:16:02.578947366,0.59,0.39,7.68,1.57,3.15,1.18,0.39,7.0,0 days 00:16:09.428571426,0.0,0.53,7.43,1.06,3.18,1.06,0.0,,,,,,,F,45,23,50,73,19,18,78,43,15,38,50,70,14,17,80,47,42.0,46.333333333333336,43.3,37.4,48.0,40.58
Jeffrey Viel,BOS,L,7,0 days 00:10:10.142857140,0.0,0.0,4.21,20.23,1.69,9.27,0.84,4.0,0 days 00:08:37.750000002,0.0,0.0,1.74,17.38,1.74,6.95,1.74,,,,,,,F,7,6,50,25,25,96,42,98,15,11,50,5,37,94,53,94,22.6,78.66666666666667,39.42,23.6,80.33333333333333,40.62
Zack MacEwen,N.J,R,3,0 days 00:06:19.999999998,0.0,0.0,12.63,18.95,3.16,0.0,0.0,2.0,0 days 00:05:54,0.0,0.0,10.17,25.42,0.0,0.0,0.0,,,,,,,F,7,6,50,95,13,95,78,10,15,11,50,86,14,98,4,17,34.2,61.0,42.24,35.2,39.666666666666664,36.54
Justin Danforth,BUF,R,4,0 days 00:11:42.250000002,0.0,0.0,2.56,3.84,5.13,2.56,21.79,,,,,,,,,,,,,,,,F,7,6,50,6,89,45,95,71,50,50,50,50,50,50,50,50,31.6,70.33333333333333,43.22,50.0,50.0,50.0
Zach Aston-Reese,CBJ,"C, L",13,0 days 00:10:20.230769232,0.0,1.34,4.91,15.18,2.23,1.79,0.89,3.0,0 days 00:10:41.666666664,0.0,0.0,1.87,14.96,0.0,3.74,1.87,,,,,,,F,7,72,50,36,25,92,58,57,15,11,50,6,38,92,4,83,38.0,69.0,47.3,24.0,59.666666666666664,34.699999999999996
Kailer Yamamoto,UTA,R,13,0 days 00:12:05.846153844,0.76,0.38,3.82,2.29,1.14,1.53,1.91,6.0,0 days 00:12:08.500000002,0.82,0.0,2.47,2.47,0.82,0.0,1.65,13.0,0 days 00:01:43.076923074,0.0,,,,F,57,22,2,19,37,27,23,52,63,11,50,12,36,37,25,17,27.4,34.0,29.379999999999995,34.4,26.333333333333332,31.979999999999997
Nicolas Hague,NSH,D,12,0 days 00:20:05.416666668,0.25,0.5,2.24,4.73,2.24,1.49,0.0,7.0,0 days 00:20:09.857142858,0.43,0.43,2.98,4.25,1.28,0.85,0.0,,,,,,,D,66,38,50,21,50,75,14,53,81,38,50,44,50,73,6,41,45.0,47.333333333333336,45.699999999999996,52.6,40.0,48.82
Jonah Gadjovich,FLA,L,10,0 days 00:07:56.599999998,0.0,2.27,6.04,22.66,2.27,5.29,0.0,,,,,,,,,,,,,,,,F,7,93,50,53,13,97,59,91,50,50,50,50,50,50,50,50,43.2,82.33333333333333,54.94,50.0,50.0,50.0
Conor Timmins,BUF,D,19,0 days 00:19:48.210526314,0.0,0.64,2.71,1.91,6.22,1.59,0.0,7.0,0 days 00:19:13.714285716,0.0,0.0,2.23,2.23,5.79,0.89,0.0,,,,,,,D,19,49,50,33,50,33,82,56,28,13,50,28,50,46,77,42,40.2,57.0,45.239999999999995,33.8,55.0,40.16
Mario Ferraro,S.J,D,20,0 days 00:20:49.900000002,0.14,0.43,2.88,5.18,6.91,0.29,0.0,7.0,0 days 00:20:45,0.0,0.41,2.48,4.54,6.61,0.0,0.0,,,,,,,D,45,33,50,37,50,79,87,14,28,36,50,34,50,76,84,13,43.0,60.0,48.099999999999994,39.6,57.666666666666664,45.019999999999996
Cale Fleury,SEA,D,4,0 days 00:14:43.500000,0.0,1.02,3.06,6.11,2.04,5.09,0.0,,,,,,,,,,,,,,,,D,19,72,50,41,50,85,10,95,50,50,50,50,50,50,50,50,46.4,63.333333333333336,51.48,50.0,50.0,50.0
Morgan Geekie,BOS,C,21,0 days 00:17:54.142857144,1.92,0.96,8.46,5.11,1.44,1.28,5.11,7.0,0 days 00:17:49.571428572,1.44,1.92,12.02,2.89,2.4,1.92,6.73,21.0,0 days 00:03:42.761904762,3.85,7.0,0 days 00:03:55.571428572,4.37,F,95,56,55,79,59,57,33,46,84,87,65,91,67,42,68,64,68.8,45.333333333333336,61.76,78.8,58.0,72.56
Michael Rasmussen,DET,C,18,0 days 00:11:36.833333334,0.57,0.86,4.59,5.17,3.44,1.15,19.23,6.0,0 days 00:11:18.833333334,0.88,0.88,6.19,6.19,2.65,0.0,11.49,,,,,,,F,44,50,50,31,87,58,83,42,66,56,50,59,79,69,73,17,52.4,61.0,54.980000000000004,62.0,53.0,59.3
Cody Glass,N.J,C,10,0 days 00:11:58.600000002,1.5,0.0,9.52,1.5,2.5,3.01,23.04,4.0,0 days 00:11:06.250000002,1.35,0.0,13.51,0.0,4.05,0.0,28.37,,,,,,,F,89,6,50,86,90,17,65,76,82,11,50,94,92,4,89,17,64.2,52.666666666666664,60.739999999999995,65.8,36.666666666666664,57.059999999999995
Mikey Anderson,L.A,D,20,0 days 00:19:34.699999998,0.15,0.61,1.53,3.52,4.75,0.31,0.0,7.0,0 days 00:19:27.714285714,0.0,1.76,0.88,3.08,4.84,0.0,0.0,,,,,,,D,47,46,50,8,50,62,63,15,28,88,50,5,50,60,66,13,40.2,46.666666666666664,42.14,44.2,46.333333333333336,44.84
Casey Mittelstadt,BOS,C,15,0 days 00:14:32.266666668,1.1,1.38,3.85,0.83,2.2,0.0,13.48,2.0,0 days 00:16:01.500000,0.0,1.87,1.87,3.74,3.74,0.0,7.49,15.0,0 days 00:01:38.133333336,0.0,,,,F,76,74,2,20,81,9,58,10,15,86,50,6,69,51,86,17,50.6,25.666666666666668,43.120000000000005,45.2,51.333333333333336,47.04
Urho Vaakanainen,NYR,D,14,0 days 00:14:45,0.0,0.87,2.91,1.45,2.62,2.91,0.0,4.0,0 days 00:14:24.750000,0.0,2.08,2.08,1.04,2.08,2.08,0.0,,,,,,,D,19,64,50,38,50,24,20,81,28,92,50,25,50,22,18,70,44.2,41.666666666666664,43.44,49.0,36.666666666666664,45.3
Nico Hischier,N.J,C,19,0 days 00:20:50.578947366,0.61,1.36,5.91,1.82,3.18,0.61,30.6,7.0,0 days 00:21:30.571428570,0.4,0.4,5.18,1.99,2.79,0.0,28.29,19.0,0 days 00:03:08.684210526,3.01,7.0,0 days 00:03:22.000000002,0.0,F,47,73,44,51,93,21,79,27,39,31,8,48,92,30,75,17,61.6,42.333333333333336,55.82,43.6,40.666666666666664,42.72
Jesper Boqvist,FLA,C,19,0 days 00:11:49.578947370,0.53,0.53,4.81,13.62,2.14,1.6,3.2,7.0,0 days 00:12:16.000000002,0.7,1.4,4.89,12.58,0.7,1.4,2.1,,,,,,,F,41,31,50,35,48,90,56,53,57,75,50,44,40,89,21,55,41.0,66.33333333333333,48.599999999999994,53.2,55.0,53.74
Eeli Tolvanen,SEA,R,19,0 days 00:15:00.473684208,0.63,1.68,5.47,9.68,3.16,1.26,0.0,7.0,0 days 00:14:42.428571426,1.75,2.33,8.74,9.32,1.75,2.33,0.0,19.0,0 days 00:02:13.789473684,7.08,7.0,0 days 00:03:18.714285714,7.76,F,48,83,81,45,13,81,78,45,90,92,82,79,14,82,54,70,54.0,68.0,58.199999999999996,71.4,68.66666666666667,70.58000000000001
Elias Pettersson,VAN,C,21,0 days 00:20:15.619047618,0.85,1.83,4.65,3.1,6.35,0.28,30.74,7.0,0 days 00:20:55.714285716,1.23,2.46,5.32,2.05,6.55,0.0,34.81,21.0,0 days 00:03:42.523809522,5.39,7.0,0 days 00:03:18.285714288,7.78,F,63,86,70,32,93,37,98,17,79,93,82,49,94,31,97,17,68.8,50.666666666666664,63.36,79.4,48.333333333333336,70.08
Gabriel Vilardi,WPG,C,19,0 days 00:18:42.578947368,1.01,1.35,7.6,1.01,1.01,0.68,1.69,7.0,0 days 00:19:06.571428570,0.45,0.0,7.18,0.9,0.9,0.9,0.9,19.0,0 days 00:03:13.789473684,4.89,7.0,0 days 00:02:57.142857144,2.9,F,71,73,66,72,35,11,19,29,42,11,51,68,27,15,28,44,63.4,19.666666666666668,50.279999999999994,39.8,29.0,36.559999999999995
Owen Tippett,PHI,R,18,0 days 00:16:46.666666668,1.19,0.99,9.74,5.76,1.59,3.97,0.0,7.0,0 days 00:16:52.857142860,0.51,2.03,8.63,3.55,2.03,2.03,0.0,18.0,0 days 00:02:07.000000002,1.57,7.0,0 days 00:01:49.428571428,0.0,F,79,57,21,87,13,62,38,85,46,88,8,79,14,49,61,66,51.4,61.666666666666664,54.48,47.0,58.666666666666664,50.5
Nick Suzuki,MTL,C,19,0 days 00:20:26.263157892,0.62,2.63,6.34,2.47,2.32,0.62,27.5,7.0,0 days 00:20:49.999999998,0.82,0.41,5.76,4.53,2.88,0.82,28.8,19.0,0 days 00:03:22.842105264,8.41,7.0,0 days 00:03:23.142857142,2.53,F,47,95,86,57,92,29,61,27,63,32,47,54,92,58,77,41,75.4,39.0,64.48,57.6,58.666666666666664,57.92
Robert Thomas,STL,C,16,0 days 00:18:21,0.61,2.04,4.7,0.61,1.84,0.82,28.81,7.0,0 days 00:17:42.571428570,0.48,1.94,5.32,0.0,1.45,0.0,32.91,16.0,0 days 00:02:37.312500,7.15,7.0,0 days 00:02:14.142857142,3.83,F,47,90,81,33,92,7,47,33,44,87,60,49,94,4,45,17,68.6,29.0,56.72,66.8,22.0,53.36
Jason Robertson,DAL,L,20,0 days 00:20:16.000000002,1.63,2.07,12.88,2.07,1.48,0.3,0.0,7.0,0 days 00:18:47.142857142,3.65,2.74,14.14,2.74,0.46,0.91,0.0,20.0,0 days 00:04:09.450000,7.94,7.0,0 days 00:04:01.000000002,10.67,F,91,90,84,96,13,24,35,18,99,95,89,95,14,40,14,44,74.8,25.666666666666668,60.059999999999995,78.4,32.666666666666664,64.68
Morgan Frost,CGY,C,21,0 days 00:16:04.428571428,0.53,1.24,6.58,2.31,1.78,2.13,28.08,7.0,0 days 00:16:07.714285716,0.53,1.06,7.44,2.13,1.06,0.0,33.48,21.0,0 days 00:03:38.571428574,2.35,7.0,0 days 00:02:51.142857144,0.0,F,41,69,34,60,92,27,45,64,47,64,8,71,94,32,33,17,59.2,45.333333333333336,55.04,56.8,27.333333333333332,47.959999999999994
Henri Jokiharju,BOS,D,20,0 days 00:17:20.950000002,0.0,0.69,2.94,2.08,3.11,1.04,0.0,6.0,0 days 00:16:20.166666666,0.0,0.61,4.28,1.22,2.45,1.22,0.0,,,,,,,D,19,52,50,38,50,37,31,39,28,48,50,67,50,26,25,52,41.8,35.666666666666664,39.959999999999994,48.6,34.333333333333336,44.31999999999999
Miro Heiskanen,DAL,D,20,0 days 00:25:23.850000,0.35,1.77,5.67,0.47,3.9,0.71,0.0,7.0,0 days 00:25:24.857142858,0.0,4.05,4.72,0.34,4.72,1.35,0.0,20.0,0 days 00:03:42.450000,5.66,7.0,0 days 00:03:47.142857142,11.32,D,81,94,73,86,50,6,48,28,28,99,88,73,50,8,65,55,76.8,27.333333333333332,61.959999999999994,67.6,42.666666666666664,60.11999999999999
Martin Necas,COL,C,19,0 days 00:20:58.894736844,1.96,1.81,6.32,3.31,0.9,2.11,1.05,7.0,0 days 00:20:43.000000002,2.07,1.65,7.45,3.72,1.24,2.48,1.24,19.0,0 days 00:04:44.210526318,4.67,7.0,0 days 00:04:49.000000002,5.34,F,95,86,64,57,27,40,16,63,94,82,71,71,31,51,39,72,65.8,39.666666666666664,57.959999999999994,69.8,54.0,65.05999999999999
Timothy Liljegren,S.J,D,14,0 days 00:20:37.857142860,0.0,0.83,1.87,3.53,6.44,1.66,0.0,4.0,0 days 00:19:19.999999998,0.0,0.78,0.78,3.88,8.53,1.55,0.0,,,,,,,D,19,62,50,13,50,62,84,58,28,57,50,4,50,70,93,59,38.8,68.0,47.559999999999995,37.8,74.0,48.66
Dylan Samberg,WPG,D,3,0 days 00:21:57.333333336,0.0,0.0,3.64,3.64,9.11,0.0,0.0,3.0,0 days 00:21:57.333333336,0.0,0.0,3.64,3.64,9.11,0.0,0.0,,,,,,,D,19,6,50,55,50,63,96,7,28,13,50,57,50,67,94,13,36.0,55.333333333333336,41.8,39.6,58.0,45.12
P.O Joseph,VAN,D,9,0 days 00:12:13.777777776,0.0,0.55,4.91,1.64,3.82,1.09,0.0,2.0,0 days 00:10:42,0.0,2.8,2.8,0.0,2.8,0.0,0.0,,,,,,,D,19,42,50,77,50,28,46,41,28,97,50,40,50,4,31,13,47.6,38.333333333333336,44.82,53.0,16.0,41.89999999999999
Josh Norris,BUF,C,1,0 days 00:18:51,0.0,0.0,12.73,3.18,0.0,0.0,12.73,,,,,,,,,,,,,,,,F,7,6,50,96,80,38,1,10,50,50,50,50,50,50,50,50,47.8,16.333333333333332,38.35999999999999,50.0,50.0,50.0
Ryan Poehling,ANA,C,16,0 days 00:12:32.062500,0.3,1.5,3.29,2.09,3.89,1.2,23.93,4.0,0 days 00:14:19.000000002,0.0,1.05,1.05,2.1,5.24,2.1,25.15,,,,,,,F,24,78,50,13,90,25,88,43,15,63,50,2,91,32,94,67,51.0,52.0,51.3,44.2,64.33333333333333,50.239999999999995
Cale Makar,COL,D,19,0 days 00:25:32.210526318,0.74,2.35,6.06,1.36,3.96,1.24,0.0,7.0,0 days 00:25:40.428571428,0.67,2.0,5.01,0.33,4.01,1.34,0.0,19.0,0 days 00:04:53.315789472,4.52,7.0,0 days 00:04:49.714285716,0.0,D,99,98,63,89,50,22,49,46,93,91,7,76,50,8,54,55,79.8,39.0,67.55999999999999,63.4,39.0,56.08
Alexandre Texier,STL,L,8,0 days 00:10:15.374999999,0.0,0.73,5.12,6.58,0.73,1.46,0.73,1.0,0 days 00:12:22.999999998,0.0,0.0,0.0,4.85,0.0,9.69,0.0,,,,,,,F,7,43,50,39,23,68,11,50,15,11,50,1,14,61,4,97,32.4,43.0,35.58,18.2,54.0,28.939999999999998
Filip Chytil,VAN,C,6,0 days 00:15:38.166666666,1.92,0.0,9.59,1.92,2.56,3.84,23.02,,,,,,,,,,,,,,,,F,95,6,50,86,90,22,67,84,50,50,50,50,50,50,50,50,65.4,57.666666666666664,63.08,50.0,50.0,50.0
Nick DeSimone,UTA,D,5,0 days 00:14:49.600000002,0.81,0.81,6.47,1.62,4.05,0.0,0.0,5.0,0 days 00:14:49.600000002,0.81,0.81,6.47,1.62,4.05,0.0,0.0,,,,,,,D,99,60,50,91,50,27,51,7,96,59,50,87,50,34,55,13,70.0,28.333333333333332,57.5,68.4,34.0,58.08
Alex Iafallo,WPG,L,19,0 days 00:15:38.368421052,0.81,0.81,6.46,3.43,2.42,0.81,1.21,7.0,0 days 00:15:18.571428570,1.12,0.56,5.6,2.24,1.68,0.0,0.56,19.0,0 days 00:02:37.842105264,4.8,7.0,0 days 00:01:36.857142858,0.0,F,60,48,65,59,29,41,63,33,75,40,8,53,23,34,52,17,52.2,45.666666666666664,50.239999999999995,39.8,34.333333333333336,38.16
David Kampf,VAN,C,1,0 days 00:14:07.999999998,0.0,0.0,0.0,0.0,0.0,0.0,46.7,1.0,0 days 00:14:07.999999998,0.0,0.0,0.0,0.0,0.0,0.0,46.7,,,,,,,F,7,6,50,1,96,2,1,10,15,11,50,1,96,4,4,17,32.0,4.333333333333333,23.7,34.6,8.333333333333334,26.72
Neal Pionk,WPG,D,19,0 days 00:23:43.105263156,0.13,0.53,5.33,4.66,4.53,1.33,0.0,7.0,0 days 00:23:56.857142856,0.36,0.72,4.65,5.01,5.01,0.0,0.0,19.0,0 days 00:01:53.421052632,3.34,7.0,0 days 00:01:43.714285716,4.96,D,43,40,49,82,50,75,60,48,75,54,66,72,50,79,69,13,52.8,61.0,55.25999999999999,63.4,53.666666666666664,60.47999999999999
Eetu Luostarinen,FLA,C,18,0 days 00:16:46.166666664,0.6,1.39,6.36,8.35,3.58,1.59,1.59,6.0,0 days 00:17:20.666666664,1.15,2.31,7.5,7.5,3.46,3.46,0.0,18.0,0 days 00:01:22.222222224,2.43,6.0,0 days 00:02:39.833333334,3.75,F,46,74,35,58,34,76,84,53,76,92,60,71,14,76,84,81,49.4,71.0,55.879999999999995,62.6,80.33333333333333,67.92
Fabian Zetterlund,OTT,L,19,0 days 00:14:12.684210528,0.22,0.67,6.22,7.33,1.56,1.33,0.22,7.0,0 days 00:15:00.571428570,0.0,0.57,4.0,5.71,1.71,0.0,0.0,,,,,,,F,18,39,50,56,16,72,37,47,15,40,50,32,14,67,53,17,35.8,52.0,40.66,30.2,45.666666666666664,34.839999999999996
Jacob Bryson,BUF,D,9,0 days 00:10:36,0.0,0.63,0.63,1.26,3.14,2.52,0.0,4.0,0 days 00:12:01.500000,0.0,0.0,0.0,1.25,1.25,2.49,0.0,,,,,,,D,19,48,50,1,50,20,31,75,28,13,50,1,50,26,6,76,33.6,42.0,36.12,28.4,36.0,30.68
Drake Batherson,OTT,R,16,0 days 00:17:34.000000002,1.28,2.56,6.83,6.19,1.07,1.28,0.21,7.0,0 days 00:18:20.714285712,0.93,1.4,6.07,7.94,0.93,1.87,0.0,16.0,0 days 00:02:50.437500,6.6,7.0,0 days 00:01:52.428571428,0.0,F,83,95,78,63,16,65,21,46,68,75,8,58,14,78,29,63,67.0,44.0,60.099999999999994,44.6,56.666666666666664,48.22
Noah Cates,PHI,L,18,0 days 00:17:25.277777778,0.77,1.15,6.7,2.87,2.49,1.15,21.43,7.0,0 days 00:17:25.142857140,0.49,0.98,5.9,3.44,2.46,0.98,17.71,18.0,0 days 00:02:14.333333334,5.96,7.0,0 days 00:02:01.142857140,4.25,F,58,65,74,62,89,34,65,42,45,60,64,56,86,48,70,46,69.6,47.0,62.81999999999999,62.2,54.666666666666664,59.94
Olle Lycksell,OTT,R,6,0 days 00:10:18.499999998,0.97,0.0,5.82,1.94,2.91,0.0,0.0,,,,,,,,,,,,,,,,F,69,6,50,50,13,23,74,10,50,50,50,50,50,50,50,50,37.6,35.666666666666664,37.019999999999996,50.0,50.0,50.0
Nick Perbix,NSH,D,20,0 days 00:20:19.500000,0.3,0.15,4.13,1.48,3.25,0.89,0.0,7.0,0 days 00:19:13.142857140,0.0,0.0,4.01,2.23,1.78,0.89,0.0,,,,,,,D,74,13,50,65,50,24,34,34,28,13,50,63,50,46,13,42,50.4,30.666666666666668,44.47999999999999,40.8,33.666666666666664,38.66
Ben Jones,MIN,C,8,0 days 00:08:27.625000002,0.0,0.0,6.21,19.5,3.55,0.0,28.37,4.0,0 days 00:08:25.999999998,0.0,0.0,7.11,17.79,3.56,0.0,28.46,,,,,,,F,7,6,50,56,92,95,84,10,15,11,50,68,92,95,85,17,42.2,63.0,48.44,47.2,65.66666666666667,52.739999999999995
Alexey Toropchenko,STL,R,13,0 days 00:11:42.615384618,0.39,0.39,3.94,11.82,3.15,0.0,0.0,7.0,0 days 00:12:42.714285714,0.67,0.67,3.37,13.49,1.35,0.0,0.0,,,,,,,F,30,23,50,21,13,87,78,10,55,46,50,23,14,91,42,17,27.4,58.333333333333336,36.67999999999999,37.6,50.0,41.32
Morgan Barron,WPG,C,13,0 days 00:12:35.846153844,1.1,1.1,5.5,8.06,2.93,2.2,31.14,1.0,0 days 00:13:15,0.0,0.0,0.0,9.06,4.53,9.06,27.17,,,,,,,F,76,63,50,45,93,75,74,65,15,11,50,1,92,82,91,97,65.4,71.33333333333333,67.18,33.8,90.0,50.66
Sean Walker,CAR,D,19,0 days 00:23:40.263157896,0.53,0.4,5.87,4.94,3.74,1.6,0.0,7.0,0 days 00:23:27.428571426,0.73,0.73,5.85,4.02,3.29,1.46,0.0,19.0,0 days 00:01:53.421052632,1.67,7.0,0 days 00:01:51.428571426,0.0,D,94,30,23,87,50,77,44,56,95,55,7,83,50,71,41,57,56.8,59.0,57.459999999999994,58.0,56.333333333333336,57.49999999999999
Mark Kastelic,BOS,C,21,0 days 00:13:19.952380950,0.86,0.86,5.36,9.43,5.57,4.07,19.5,7.0,0 days 00:15:04.000000002,0.57,1.71,2.84,10.24,3.98,5.69,22.76,,,,,,,F,63,50,50,43,87,81,96,85,50,83,50,17,90,85,88,91,58.6,87.33333333333333,67.22,58.0,88.0,67.0
Charle-Edouard D'Astous,T.B,D,12,0 days 00:16:25.416666666,0.3,1.22,3.35,4.26,2.74,3.96,0.0,7.0,0 days 00:17:42.571428570,0.0,1.45,2.9,4.36,2.42,4.36,0.0,12.0,0 days 00:01:23.916666666,3.57,,,,D,74,81,52,48,50,71,23,90,28,82,50,43,50,74,24,90,61.0,61.333333333333336,61.099999999999994,50.6,62.666666666666664,54.22
Sean Durzi,UTA,D,2,0 days 00:18:55.500000,0.0,1.59,3.17,4.76,6.34,6.34,0.0,,,,,,,,,,,,,,,,D,19,91,50,44,50,76,83,97,50,50,50,50,50,50,50,50,50.8,85.33333333333333,61.16,50.0,50.0,50.0
Parker Kelly,COL,C,19,0 days 00:11:28.263157896,1.38,1.1,7.43,10.74,3.85,2.75,4.96,7.0,0 days 00:11:31.142857139,2.23,1.49,10.42,8.19,2.98,2.98,1.49,,,,,,,F,86,63,50,70,58,84,87,73,95,78,50,87,34,79,78,77,65.4,81.33333333333333,70.18,68.8,78.0,71.56
Pius Suter,STL,C,20,0 days 00:16:49.650000,0.89,0.89,5.53,2.67,1.25,1.07,17.65,7.0,0 days 00:17:12.714285714,0.0,1.0,4.48,2.49,0.5,1.0,16.43,20.0,0 days 00:01:40.750000002,3.57,7.0,0 days 00:01:27,5.91,F,65,52,52,46,86,32,27,40,15,61,74,39,85,37,15,46,60.2,33.0,52.04,54.8,32.666666666666664,48.15999999999999
Zach Whitecloud,VGK,D,19,0 days 00:18:02.473684212,0.0,0.35,1.93,5.95,3.68,1.75,0.0,7.0,0 days 00:18:37.714285716,0.0,0.46,1.84,5.06,2.76,1.84,0.0,,,,,,,D,19,27,50,14,50,84,43,60,28,39,50,20,50,80,31,65,32.0,62.333333333333336,41.099999999999994,37.4,58.666666666666664,43.779999999999994
Kiefer Sherwood,VAN,L,21,0 days 00:17:51.714285714,1.92,0.48,6.24,14.88,1.92,2.56,0.8,7.0,0 days 00:17:49.999999998,1.44,1.44,4.81,14.42,2.4,1.92,0.48,21.0,0 days 00:01:55.476190476,5.94,7.0,0 days 00:02:16.571428571,7.53,F,95,28,74,56,24,92,49,71,84,76,81,43,21,92,68,64,55.4,70.66666666666667,59.97999999999999,61.0,74.66666666666667,65.1
Eric Robinson,CAR,L,13,0 days 00:10:41.461538460,2.16,0.43,7.34,6.04,0.86,0.0,0.0,6.0,0 days 00:11:33.166666668,1.73,0.0,6.92,4.33,0.87,0.0,0.0,,,,,,,F,97,25,50,69,13,64,15,10,90,11,50,66,14,56,27,17,50.8,29.666666666666668,44.459999999999994,46.2,33.333333333333336,42.34
Martin Fehérváry,WSH,D,19,0 days 00:19:01.578947370,0.17,0.83,3.82,4.81,5.64,2.16,0.0,7.0,0 days 00:18:41.714285712,0.0,0.46,3.21,4.58,5.5,4.13,0.0,,,,,,,D,51,62,50,59,50,76,76,69,28,39,50,49,50,76,74,89,54.4,73.66666666666667,60.18,43.2,79.66666666666667,54.14
Joel Farabee,CGY,L,21,0 days 00:17:15.666666666,0.33,0.83,6.29,3.48,2.32,1.16,1.32,7.0,0 days 00:15:48.142857144,0.0,0.54,5.42,1.08,1.63,2.71,0.0,21.0,0 days 00:02:11.380952382,2.61,,,,F,26,49,38,57,31,41,61,42,15,39,50,51,14,17,50,74,40.2,48.0,42.54,33.8,47.0,37.76
