Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Ryan McDonagh,T.B,D,15,0 days 00:20:09.666666666,0.6,0.6,2.98,1.59,5.16,0.0,0.0,3.0,0 days 00:15:46.666666668,0.0,0.0,2.54,0.0,8.87,0.0,0.0,,,,,,,D,96,46,50,39,50,27,70,7,28,13,50,35,50,4,93,13,56.2,34.666666666666664,49.739999999999995,35.2,36.666666666666664,35.64
Lars Eller,OTT,C,19,0 days 00:13:12.157894734,0.48,0.96,4.31,3.59,3.35,0.0,25.35,7.0,0 days 00:11:39,0.0,0.0,2.94,3.68,4.41,0.0,19.87,19.0,0 days 00:01:29.368421052,0.0,,,,F,37,56,2,27,91,43,81,10,15,11,50,18,88,50,91,17,42.6,44.666666666666664,43.22,36.4,52.666666666666664,41.279999999999994
Drew Doughty,L.A,D,19,0 days 00:22:32.631578945,0.28,0.84,3.36,1.54,4.2,0.56,0.0,,,,,,,,,,19.0,0 days 00:01:33.631578948,0.0,6.0,0 days 00:01:50.166666666,0.0,D,71,62,2,49,50,26,54,23,50,50,7,50,50,50,50,50,46.8,34.333333333333336,43.06,41.4,50.0,43.98
Steven Stamkos,NSH,C,20,0 days 00:17:39.799999998,0.68,0.17,6.79,2.38,1.53,2.38,12.06,7.0,0 days 00:17:57.285714288,1.43,0.0,4.77,4.3,0.95,1.91,16.71,20.0,0 days 00:03:29.449999998,1.72,7.0,0 days 00:03:01.142857140,2.84,F,52,12,24,63,79,28,36,68,84,11,51,42,85,56,29,64,46.0,44.0,45.39999999999999,54.6,49.666666666666664,53.12
Zach Bogosian,MIN,D,5,0 days 00:13:52.600000002,0.0,0.0,4.32,5.19,7.78,0.0,0.0,,,,,,,,,,,,,,,,D,19,6,50,69,50,79,92,7,50,50,50,50,50,50,50,50,38.8,59.333333333333336,44.959999999999994,50.0,50.0,50.0
Luke Schenn,WPG,D,15,0 days 00:13:32.133333336,0.0,0.59,3.84,9.75,6.21,3.55,0.0,5.0,0 days 00:14:16.399999997,0.0,1.68,5.89,7.57,7.57,0.0,0.0,,,,,,,D,19,45,50,59,50,95,82,87,28,87,50,84,50,91,89,13,44.6,88.0,57.62,59.8,64.33333333333333,61.15999999999999
Tyler Myers,VAN,D,21,0 days 00:20:56.333333334,0.14,0.68,3.55,3.14,6.28,2.18,0.0,7.0,0 days 00:20:18.857142858,0.0,1.27,2.95,2.11,6.33,3.38,0.0,,,,,,,D,45,51,50,53,50,56,83,69,28,77,50,44,50,44,82,85,49.8,69.33333333333333,55.65999999999999,49.8,70.33333333333333,55.959999999999994
Erik Karlsson,PIT,D,19,0 days 00:23:27,0.13,1.62,4.85,0.0,2.83,0.81,0.0,7.0,0 days 00:25:09.285714288,0.34,1.02,5.45,0.0,2.73,0.68,0.0,19.0,0 days 00:02:42.526315788,3.5,7.0,0 days 00:02:52.142857140,5.98,D,43,92,51,77,50,2,25,32,73,68,72,80,50,4,30,36,62.6,19.666666666666668,49.72,68.6,23.333333333333332,55.019999999999996
Jordan Eberle,SEA,R,19,0 days 00:19:38.526315792,1.29,0.96,7.88,3.05,1.29,1.61,1.13,7.0,0 days 00:20:17.285714286,1.27,0.42,8.87,2.11,1.27,1.69,0.0,19.0,0 days 00:03:03.736842108,5.16,7.0,0 days 00:03:42.571428570,4.62,F,83,56,68,74,28,37,28,53,80,32,67,80,14,32,40,60,61.8,39.333333333333336,55.06,54.6,44.0,51.42
John Carlson,WSH,D,18,0 days 00:23:20.944444446,0.57,1.43,5.71,1.14,3.85,0.57,0.0,6.0,0 days 00:22:07.166666664,0.9,2.26,5.88,0.9,3.62,0.9,0.0,18.0,0 days 00:03:37.277777778,4.6,6.0,0 days 00:02:50.333333334,7.05,D,96,88,64,86,50,17,47,23,98,94,77,84,50,19,47,43,76.8,29.0,62.459999999999994,80.6,36.333333333333336,67.32
Roman Josi,NSH,D,8,0 days 00:24:05.125000002,0.31,1.25,5.92,1.25,4.67,1.87,0.0,,,,,,,,,,8.0,0 days 00:04:03.874999998,3.69,,,,D,75,82,54,88,50,20,62,63,50,50,50,50,50,50,50,50,69.8,48.333333333333336,63.35999999999999,50.0,50.0,50.0
Travis Hamonic,DET,D,11,0 days 00:13:55.999999998,0.0,0.39,4.31,3.13,5.48,5.48,0.0,5.0,0 days 00:13:11.599999998,0.0,0.0,3.64,3.64,5.46,6.37,0.0,,,,,,,D,19,29,50,68,50,56,74,96,28,13,50,57,50,67,74,96,43.2,75.33333333333333,52.839999999999996,39.6,79.0,51.42
Adam Henrique,EDM,C,21,0 days 00:14:03,0.41,0.81,6.71,2.03,5.49,0.41,23.39,7.0,0 days 00:14:54.285714288,0.0,0.0,5.18,2.3,5.75,0.0,21.85,,,,,,,F,32,48,50,62,90,24,96,21,15,11,50,48,89,34,96,17,56.4,47.0,53.58,42.6,49.0,44.519999999999996
Gustav Nyquist,WPG,R,14,0 days 00:12:00.571428570,0.0,2.14,6.07,2.5,2.14,0.71,1.78,3.0,0 days 00:10:52.333333332,0.0,1.84,5.52,1.84,1.84,3.68,0.0,14.0,0 days 00:01:29.571428574,8.61,,,,F,7,91,87,54,36,30,56,30,15,85,50,52,14,28,56,83,55.0,38.666666666666664,50.1,43.2,55.666666666666664,46.94
Jared Spurgeon,MIN,D,20,0 days 00:21:24.100000002,0.14,0.42,3.22,4.21,4.35,0.28,0.0,7.0,0 days 00:21:38.571428574,0.0,0.79,2.77,3.56,3.96,0.79,0.0,20.0,0 days 00:02:45.150000,3.27,7.0,0 days 00:02:37.285714284,6.54,D,45,32,48,45,50,70,56,14,28,58,75,40,50,66,53,39,44.0,46.666666666666664,44.8,50.2,52.666666666666664,50.94
Kyle Palmieri,NYI,C,20,0 days 00:19:19.549999998,0.93,1.55,9.0,2.48,1.09,1.24,0.31,7.0,0 days 00:18:42.571428570,0.92,1.83,8.7,1.83,0.0,0.92,0.0,20.0,0 days 00:03:43.950000,4.02,7.0,0 days 00:03:06.857142858,2.75,F,67,79,57,83,17,30,22,45,68,85,50,79,14,28,4,44,60.6,32.333333333333336,52.120000000000005,59.2,25.333333333333332,49.04
Ryan O'Reilly,NSH,C,20,0 days 00:19:25.999999998,0.93,1.08,5.25,0.93,2.62,0.0,31.49,7.0,0 days 00:19:33.714285714,0.44,1.31,6.57,0.0,1.31,0.0,31.55,20.0,0 days 00:02:59.350000002,2.01,7.0,0 days 00:02:19.285714284,0.0,F,67,62,29,41,93,10,68,10,42,73,8,63,93,4,41,17,58.4,29.333333333333332,49.67999999999999,55.8,20.666666666666668,45.26
John Tavares,TOR,C,20,0 days 00:18:15.900000,1.81,2.3,9.85,2.96,0.82,0.66,32.85,7.0,0 days 00:19:54.285714288,2.15,1.72,10.77,1.72,0.86,1.72,34.02,20.0,0 days 00:03:12.199999998,3.75,7.0,0 days 00:03:43.285714284,4.61,F,94,93,54,87,94,35,14,28,94,83,67,88,94,27,27,61,84.4,25.666666666666668,66.78,85.2,38.333333333333336,71.14
Victor Hedman,T.B,D,15,0 days 00:22:35.733333336,0.0,2.12,4.07,1.24,4.96,0.71,0.0,3.0,0 days 00:19:09.666666666,0.0,3.13,2.09,1.04,2.09,4.18,0.0,15.0,0 days 00:03:47.800000002,6.32,,,,D,19,97,78,64,50,19,67,28,28,98,50,25,50,22,18,90,61.6,38.0,54.519999999999996,50.2,43.333333333333336,48.14
Matt Duchene,DAL,C,4,0 days 00:14:26.749999998,1.04,1.04,3.12,2.08,4.15,0.0,12.46,,,,,,,,,,,,,,,,F,73,60,50,11,80,24,90,10,50,50,50,50,50,50,50,50,54.8,41.333333333333336,50.75999999999999,50.0,50.0,50.0
