Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP
Wyatt Kaiser,CHI,D,57,00:18:07,0.23,0.23,3.83,3.08,5.4,0.81,0.0,6.0,00:19:36,0.0,0.0,2.55,4.08,5.1,0.0,0.0,,,,,,
Marat Khusnutdinov,"BOS, MIN",C,75,00:12:05,0.33,0.46,2.71,3.64,3.11,1.32,12.51,,,,,,,,,,,,,,,
Ian Moore,ANA,D,3,00:13:38,0.0,1.47,5.87,1.47,1.47,0.0,0.0,3.0,00:13:38,0.0,1.47,5.87,1.47,1.47,0.0,0.0,,,,,,
Isaak Phillips,CHI,D,3,00:11:53,1.68,0.0,5.04,5.04,6.73,0.0,0.0,,,,,,,,,,,,,,,
Gage Goncalves,T.B,C,60,00:12:47,0.63,0.94,4.77,5.55,1.56,1.09,0.23,7.0,00:16:19,1.58,1.58,8.4,5.25,0.53,2.1,0.0,,,,,,
Ethan Cardwell,S.J,R,6,00:11:31,0.87,0.0,4.34,6.94,2.6,1.73,0.87,,,,,,,,,,,,,,,
Rory Kerins,CGY,C,5,00:12:13,0.0,3.93,2.94,3.93,1.96,0.0,1.96,,,,,,,,,,,,,,,
Riley Duran,BOS,C,2,00:12:43,0.0,0.0,11.79,14.15,0.0,4.72,2.36,2.0,00:12:43,0.0,0.0,11.79,14.15,0.0,4.72,2.36,,,,,,
Artem Zub,OTT,D,56,00:20:37,0.1,0.57,2.96,2.96,6.13,1.77,0.0,6.0,00:20:39,0.0,0.48,1.94,2.9,7.26,1.94,0.0,,,,,,
Callahan Burke,VGK,C,7,00:10:50,0.79,0.0,9.49,0.0,2.37,1.58,0.79,,,,,,,,,,,,,,,
Bobby McMann,TOR,C,74,00:14:29,1.12,0.78,9.45,7.61,1.29,1.51,0.22,7.0,00:13:34,0.0,0.63,8.21,12.0,1.26,4.42,0.0,74.0,00:01:12,4.05,,,
Jeff Malott,L.A,L,12,00:10:16,0.0,0.49,6.33,9.25,3.41,3.41,0.49,7.0,00:10:59,0.0,0.78,7.02,8.58,1.56,1.56,0.78,,,,,,
Mikael Pyyhtia,CBJ,L,47,00:12:05,0.42,0.32,3.38,2.64,4.11,0.63,0.21,,,,,,,,,,,,,,,
Matt Rempe,NYR,C,42,00:08:30,0.5,0.84,5.04,19.65,2.35,11.25,0.34,6.0,00:11:39,0.86,1.72,4.29,12.01,2.57,3.43,0.0,,,,,,
Ilya Solovyov,CGY,D,5,00:15:40,0.0,0.77,4.59,9.19,6.13,1.53,0.0,,,,,,,,,,,,,,,
Yegor Chinakhov,CBJ,R,30,00:15:43,0.89,1.02,8.65,5.98,1.27,0.51,0.0,1.0,00:11:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,00:01:59,5.02,,,
Emil Heineman,MTL,L,62,00:11:23,0.85,0.68,5.44,14.44,2.04,1.7,0.08,2.0,00:11:25,0.0,0.0,2.63,15.75,2.63,0.0,0.0,62.0,00:01:01,4.72,,,
Adam Wilsby,NSH,D,23,00:18:05,0.14,0.58,4.76,2.59,2.45,0.86,0.0,,,,,,,,,,,,,,,
Nils Aman,VAN,C,19,00:10:29,0.3,1.51,2.41,6.63,0.6,0.6,8.43,,,,,,,,,,,,,,,
Chase Bradley,COL,L,2,00:05:34,0.0,0.0,0.0,5.38,5.38,0.0,0.0,,,,,,,,,,,,,,,
Mason Lohrei,BOS,D,77,00:19:31,0.2,1.12,3.67,1.0,4.11,0.64,0.0,7.0,00:20:21,0.0,0.84,3.79,1.68,3.79,0.0,0.0,77.0,00:02:07,5.86,7.0,00:02:09,3.99
Matthew Kessel,STL,D,29,00:13:08,0.0,0.47,2.68,3.31,3.62,1.57,0.0,,,,,,,,,,,,,,,
Josh Dunne,BUF,C,2,00:07:05,0.0,0.0,4.23,21.15,8.46,21.15,8.46,,,,,,,,,,,,,,,
Daniil Miromanov,CGY,D,44,00:17:40,0.15,0.54,4.01,1.54,4.24,0.93,0.0,1.0,00:20:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Alex Steeves,TOR,C,7,00:09:53,0.87,0.87,6.07,16.47,0.87,0.0,0.0,,,,,,,,,,,,,,,
Mike Hardman,N.J,L,2,00:09:02,0.0,3.32,6.64,13.27,9.95,0.0,0.0,,,,,,,,,,,,,,,
Matt Kiersted,FLA,D,2,00:12:40,0.0,2.37,0.0,7.1,2.37,4.73,0.0,2.0,00:12:40,0.0,2.37,0.0,7.1,2.37,4.73,0.0,,,,,,
Walker Duehr,"CGY, S.J",R,24,00:08:48,0.57,0.28,4.26,13.91,4.26,0.0,0.28,,,,,,,,,,,,,,,
J.J. Moser,T.B,D,54,00:18:51,0.12,0.71,2.83,2.0,4.13,1.3,0.0,7.0,00:17:14,0.0,0.5,2.49,0.5,5.97,0.99,0.0,,,,,,
Josh Doan,UTA,R,51,00:13:31,0.61,1.04,7.66,3.92,1.22,0.7,3.05,7.0,00:13:06,1.31,1.31,13.08,3.27,0.0,0.0,2.62,51.0,00:01:24,3.34,,,
Kent Johnson,CBJ,C,68,00:17:17,1.22,1.68,6.28,0.15,1.48,0.82,0.0,7.0,00:16:01,1.07,2.67,8.55,0.0,1.07,0.0,0.0,68.0,00:02:32,5.2,7.0,00:01:36,10.64
Dylan Duke,T.B,L,2,00:07:51,3.82,0.0,3.82,19.09,0.0,0.0,0.0,,,,,,,,,,,,,,,
Matty Beniers,SEA,C,82,00:18:41,0.78,0.9,5.76,1.64,3.01,0.55,22.28,7.0,00:18:56,0.9,0.0,4.98,1.81,5.88,0.0,19.0,82.0,00:02:26,2.7,7.0,00:01:59,4.32
Scott Morrow,CAR,D,14,00:15:47,0.27,1.36,6.24,0.81,4.34,0.0,0.0,6.0,00:17:15,0.0,1.16,5.22,1.16,4.64,0.0,0.0,,,,,,
William Eklund,S.J,L,77,00:19:33,0.68,1.63,6.02,2.15,1.83,1.16,0.44,7.0,00:19:22,0.0,1.33,7.08,2.21,2.21,3.1,0.44,77.0,00:02:42,4.61,7.0,00:02:15,0.0
Owen Power,BUF,D,79,00:21:18,0.25,1.18,4.95,0.93,3.88,0.57,0.0,4.0,00:18:28,0.0,0.81,4.06,0.81,1.62,1.62,0.0,79.0,00:01:36,2.84,,,
Matt Coronato,CGY,R,77,00:17:34,1.06,1.02,7.98,1.6,1.64,1.11,3.01,7.0,00:18:34,1.85,1.85,9.23,0.46,1.38,0.0,2.77,77.0,00:02:29,5.33,7.0,00:02:42,9.52
Luke Hughes,N.J,D,71,00:21:09,0.28,1.48,4.83,0.76,2.4,0.64,0.0,6.0,00:23:09,0.43,1.73,7.77,0.43,0.86,0.0,0.0,71.0,00:01:38,8.22,6.0,00:02:28,8.11
Aatu Raty,VAN,C,33,00:10:39,1.19,0.68,5.8,13.65,1.19,2.39,32.59,7.0,00:12:55,1.33,1.33,7.96,13.26,0.66,2.65,33.81,,,,,,
Dylan Guenther,UTA,R,70,00:16:59,1.36,1.66,10.29,2.67,2.12,1.31,0.5,7.0,00:18:37,0.46,3.22,9.21,2.3,1.38,0.92,0.92,70.0,00:03:22,7.36,7.0,00:03:41,11.61
Nolan Allan,CHI,D,43,00:15:07,0.09,0.65,1.57,5.63,4.43,1.48,0.0,,,,,,,,,,,,,,,
Logan Stankoven,"CAR, DAL",C,78,00:15:05,0.71,1.22,9.89,2.45,1.68,0.92,4.43,,,,,,,,,,78.0,00:01:48,3.4,,,
Colton Dach,CHI,C,25,00:12:07,0.4,0.99,5.34,17.02,2.37,3.36,1.39,,,,,,,,,,,,,,,
Cole Sillinger,CBJ,C,66,00:16:54,0.59,1.18,6.93,3.92,1.93,1.88,16.12,7.0,00:15:49,1.08,0.54,3.79,4.33,1.62,0.0,16.79,66.0,00:01:23,1.97,,,
Oskar Olausson,COL,R,2,00:06:48,0.0,0.0,13.22,4.41,8.81,0.0,0.0,,,,,,,,,,,,,,,
Mackie Samoskevich,FLA,R,72,00:13:19,0.94,1.0,8.07,8.38,2.0,0.75,0.0,6.0,00:16:14,0.62,0.62,8.62,7.39,0.62,1.23,0.0,72.0,00:01:39,5.54,6.0,00:02:33,0.0
Ryan Ufko,NSH,D,1,00:15:37,0.0,0.0,0.0,3.84,0.0,0.0,0.0,1.0,00:15:37,0.0,0.0,0.0,3.84,0.0,0.0,0.0,,,,,,
Matthew Knies,TOR,L,78,00:18:30,1.2,1.2,6.32,7.52,1.7,1.79,0.0,7.0,00:18:06,1.42,1.89,9.0,3.79,1.42,1.89,0.0,78.0,00:02:24,4.8,7.0,00:02:34,3.32
Samuel Helenius,L.A,C,50,00:08:39,0.55,0.42,4.02,20.8,2.22,3.47,17.89,7.0,00:08:58,1.91,0.0,4.77,18.13,0.0,3.82,19.08,,,,,,
Brandt Clarke,L.A,D,78,00:16:16,0.24,1.32,6.19,1.04,5.72,2.17,0.0,7.0,00:17:58,0.0,0.95,5.25,2.38,3.82,2.86,0.0,78.0,00:01:46,3.9,7.0,00:01:27,5.91
Logan Mailloux,MTL,D,7,00:16:12,1.06,1.06,5.29,4.76,4.23,3.17,0.0,,,,,,,,,,,,,,,
Zack Bolduc,STL,"C, R",72,00:12:48,1.24,1.11,7.81,7.03,2.34,2.41,0.33,7.0,00:14:32,1.77,1.18,9.43,6.49,2.36,2.36,0.0,72.0,00:01:18,7.67,7.0,00:02:22,14.43
Wyatt Johnston,DAL,C,82,00:18:55,1.28,1.47,7.81,1.74,1.82,0.54,17.98,7.0,00:18:28,0.93,0.46,5.57,1.39,2.78,0.0,19.03,82.0,00:03:02,6.02,7.0,00:03:47,4.52
Zachary L'Heureux,NSH,L,62,00:12:02,0.4,0.8,6.27,15.91,2.01,4.26,0.0,7.0,00:13:46,0.0,0.62,4.36,15.57,1.87,2.49,0.0,,,,,,
James Malatesta,CBJ,L,2,00:10:34,0.0,0.0,0.0,17.03,2.84,0.0,2.84,,,,,,,,,,,,,,,
Mason McTavish,ANA,C,76,00:16:52,1.03,1.4,8.42,3.23,1.45,1.78,22.78,7.0,00:17:31,0.98,0.98,7.82,1.47,0.98,0.98,27.87,76.0,00:02:32,3.73,7.0,00:02:05,0.0
Brennan Othmann,NYR,L,22,00:09:58,0.0,0.55,5.47,11.76,1.91,0.55,0.0,5.0,00:11:22,0.0,0.0,3.16,10.54,1.05,0.0,0.0,,,,,,
Joshua Roy,MTL,R,12,00:11:01,0.91,0.0,6.35,2.72,3.63,0.91,0.45,,,,,,,,,,,,,,,
Ryan Winterton,SEA,C,12,00:10:49,0.0,0.46,6.92,9.23,2.77,0.92,0.46,4.0,00:11:46,0.0,0.0,8.92,8.92,2.55,2.55,1.27,,,,,,
Ville Koivunen,PIT,R,8,00:18:06,0.0,2.9,6.21,0.41,3.31,1.66,0.41,7.0,00:18:12,0.0,3.3,6.12,0.47,3.77,1.88,0.47,8.0,00:02:40,8.43,7.0,00:02:49,9.08
Simon Edvinsson,DET,D,78,00:21:07,0.25,0.87,3.13,3.13,5.24,2.44,0.0,7.0,00:22:57,0.0,0.75,4.85,3.36,4.85,2.99,0.0,,,,7.0,00:01:49,0.0
Fabian Lysell,BOS,R,12,00:13:26,0.37,0.74,7.81,1.86,0.74,2.23,0.0,7.0,00:13:52,0.62,1.23,7.41,0.62,1.23,2.47,0.0,,,,,,
Isak Rosen,BUF,R,8,00:09:38,0.0,0.78,6.22,2.33,1.56,0.0,0.0,2.0,00:07:31,0.0,0.0,7.97,0.0,0.0,0.0,0.0,,,,,,
Fedor Svechkov,NSH,C,52,00:12:53,0.72,0.81,5.73,2.87,2.15,1.25,11.01,7.0,00:14:01,0.61,0.61,2.44,1.83,2.44,2.44,17.1,52.0,00:01:03,5.47,,,
Oliver Kapanen,MTL,C,18,00:10:53,0.0,0.61,4.9,0.31,2.45,0.61,7.35,6.0,00:09:24,0.0,0.0,3.19,0.0,2.13,0.0,1.06,18.0,00:01:11,2.78,,,
Justin Robidas,CAR,C,2,00:11:08,2.69,2.69,8.08,5.39,0.0,0.0,21.54,1.0,00:14:03,4.27,0.0,8.54,8.54,0.0,0.0,17.08,,,,,,
Nikita Chibrikov,WPG,R,4,00:11:24,2.63,1.32,7.89,11.84,5.26,0.0,0.0,,,,,,,,,,,,,,,
Olen Zellweger,ANA,D,62,00:18:57,0.36,0.66,6.64,1.89,3.68,1.02,0.0,5.0,00:17:26,0.0,0.69,9.63,2.06,2.06,0.0,0.0,62.0,00:02:24,2.01,,,
Ethan Del Mastro,CHI,D,24,00:18:18,0.27,0.55,2.59,5.46,2.87,0.82,0.0,1.0,00:20:37,0.0,0.0,2.91,2.91,5.82,0.0,0.0,,,,,,
Jackson Blake,CAR,R,80,00:13:50,0.92,0.92,7.75,1.03,1.63,1.63,0.81,5.0,00:15:49,1.52,0.76,6.07,0.0,0.76,0.0,0.0,80.0,00:02:06,2.5,5.0,00:02:11,0.0
Ryker Evans,SEA,D,73,00:19:28,0.21,0.84,2.49,5.19,4.47,1.27,0.0,6.0,00:19:53,0.0,0.0,0.0,2.51,7.54,3.02,0.0,,,,,,
Zack Ostapchuk,"OTT, S.J",C,56,00:09:25,0.11,0.34,2.96,12.51,2.39,5.12,15.58,,,,,,,,,,,,,,,
Ville Ottavainen,SEA,D,1,00:14:24,0.0,4.17,4.17,12.5,4.17,0.0,0.0,1.0,00:14:24,0.0,4.17,4.17,12.5,4.17,0.0,0.0,,,,,,
Tyson Kozak,BUF,C,21,00:10:29,0.82,0.54,3.0,7.08,6.26,0.54,18.25,,,,,,,,,,,,,,,
Emil Lilleberg,T.B,D,76,00:15:16,0.05,0.93,2.38,5.89,3.15,5.42,0.0,7.0,00:14:55,0.57,0.0,1.72,5.17,2.87,4.6,0.0,,,,,,
Arber Xhekaj,MTL,D,70,00:14:37,0.06,0.29,4.04,10.55,3.69,6.92,0.0,,,,,,,,,,,,,,,
Frederic Brunet,BOS,D,1,00:14:22,0.0,0.0,8.34,4.17,20.86,0.0,0.0,1.0,00:14:22,0.0,0.0,8.34,4.17,20.86,0.0,0.0,,,,,,
Arshdeep Bains,VAN,L,13,00:10:30,0.44,0.0,3.52,7.47,3.08,0.0,1.32,,,,,,,,,,,,,,,
Marc McLaughlin,"BOS, N.J",C,14,00:09:12,0.93,0.47,6.05,13.04,2.79,0.0,6.52,,,,,,,,,,,,,,,
