TM,Week,Games,LiteNite,Opponents,OppOff,OffMatchUp,B2B,Away,GamesRestOfWeek,GamesROS,Key
S.J,19,3,0,"MTL, STL, NYI",26%,"Excellent [17,22,39]",2,0,0,21,S.J19
S.J,20,4,0,"BUF, BOS, MTL, OTT",28%,"Excellent [46,16,17,32]",2,4,0,17,S.J20
S.J,21,3,0,"EDM, BUF, PHI",32%,"Good [33,46,18]",0,1,0,14,S.J21
S.J,22,3,0,"NSH, STL, COL",44%,"Good [28,22,83]",0,3,0,11,S.J22
S.J,23,4,2,"STL, ANA, TOR, NSH",37%,"Good [22,61,37,28]",2,0,0,7,S.J23
S.J,24,7,2,"CHI, EDM, ANA, VAN, NSH, CHI, WPG",33%,"Good [21,33,61,32,28,21,32]",4,4,0,0,S.J24
SEA,1,2,0,"ANA, VGK",52%,"Average [61,44]",0,0,0,80,SEA1
SEA,2,3,0,"MTL, OTT, TOR",29%,"Excellent [17,32,37]",0,3,0,77,SEA2
SEA,3,4,1,"PHI, WSH, WPG, EDM",41%,"Good [18,81,32,33]",2,3,0,73,SEA3
SEA,4,2,0,"MTL, NYR",28%,"Excellent [17,40]",0,0,0,71,SEA4
SEA,5,4,2,"CHI, S.J, STL, DAL",24%,"Excellent [21,50,22,29]",2,2,0,67,SEA5
SEA,6,3,0,"COL, WPG, S.J",58%,"Average [83,32,50]",0,0,0,64,SEA6
SEA,7,4,0,"DET, CHI, PIT, NYI",42%,"Good [49,21,57,39]",2,4,0,60,SEA7
SEA,8,2,0,"DAL, EDM",31%,"Good [29,33]",0,0,0,58,SEA8
SEA,9,2,0,"EDM, DET",41%,"Good [33,49]",0,1,1,56,SEA9
SEA,10,4,3,"MIN, L.A, UTA, BUF",41%,"Good [25,50,52,46]",0,1,0,52,SEA10
SEA,11,3,0,"CGY, CAR, S.J",68%,"Average [40,96,50]",0,2,0,49,SEA11
SEA,12,3,2,"ANA, L.A, PHI",40%,"Good [61,50,18]",3,2,0,46,SEA12
SEA,13,3,1,"VAN, NSH, VAN",31%,"Good [32,28,32]",3,1,0,43,SEA13
SEA,14,4,1,"CAR, BOS, MIN, CBJ",49%,"Good [96,16,25,58]",2,2,0,39,SEA14
SEA,15,4,1,"NYR, N.J, BOS, UTA",36%,"Good [40,50,16,52]",2,4,0,35,SEA15
SEA,16,4,0,"PIT, NYI, ANA, N.J",52%,"Average [57,39,61,50]",0,0,0,31,SEA16
SEA,17,3,0,"WSH, TOR, VGK",54%,"Average [81,37,44]",0,1,0,28,SEA17
SEA,18,5,0,"ANA, L.A, DAL, STL, VAN",36%,"Good [61,50,29,22,32]",4,4,0,23,SEA18
SEA,19,3,1,"CBJ, STL, OTT",37%,"Good [58,22,32]",0,0,0,20,SEA19
SEA,20,4,0,"NSH, CGY, VAN, FLA",41%,"Good [28,40,32,63]",2,1,0,16,SEA20
SEA,21,3,0,"T.B, NSH, COL",56%,"Average [50,28,83]",0,2,0,13,SEA21
SEA,22,3,0,"FLA, T.B, BUF",54%,"Average [63,50,46]",0,3,0,10,SEA22
SEA,23,3,0,"EDM, UTA, CHI",35%,"Good [33,52,21]",0,1,0,7,SEA23
SEA,24,7,1,"WPG, MIN, VGK, CAR, L.A, VGK, CGY",47%,"Good [32,25,44,96,50,44,40]",4,4,0,0,SEA24
STL,1,2,0,"MIN, CAR",60%,"Average [25,96]",0,1,0,80,STL1
STL,2,3,1,"VAN, CHI, DAL",27%,"Excellent [32,21,29]",0,1,0,77,STL2
STL,3,3,0,"L.A, UTA, DET",50%,"Good [50,52,49]",0,1,0,74,STL3
STL,4,4,1,"PIT, DET, VAN, COL",55%,"Average [57,49,32,83]",2,2,0,70,STL4
STL,5,4,2,"EDM, WSH, BUF, SEA",41%,"Good [33,81,46,4]",2,2,0,66,STL5
STL,6,3,1,"CAR, PHI, VGK",53%,"Average [96,18,44]",2,0,0,63,STL6
