Player,Team,team_name,Elig_Pos,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Tye Felhaber,COL,,,5,0:05:31,0.0,0.0,4.35,15.23,0.0,0.0,0.0,,,,,,,,,,,,,,,,F,6,4,50,28,13,92,1,7,50,50,50,50,50,50,50,50,20.2,33.333333333333336,24.14,50.0,50.0,50.0
Zack MacEwen,OTT,,,21,0:07:45,0.74,0.37,9.57,18.04,2.58,7.73,2.21,,,,,,,,,,,,,,,,F,59,20,50,86,41,95,65,98,50,50,50,50,50,50,50,50,51.2,86.0,61.64,50.0,50.0,50.0
Justin Danforth,CBJ,,,61,0:14:23,0.62,0.82,6.43,8.62,3.35,1.23,22.36,7.0,0:13:16,0.65,1.29,7.1,10.33,1.29,2.58,19.37,,,,,,,F,50,50,50,59,91,76,80,44,49,67,50,60,87,85,38,78,60.0,66.66666666666667,62.0,62.6,67.0,63.92
Dominik Shine,DET,,,9,0:08:38,0.0,0.77,3.86,12.34,2.31,11.57,0.0,,,,,,,,,,,,,,,,F,6,46,50,20,13,87,57,99,50,50,50,50,50,50,50,50,27.0,81.0,43.2,50.0,50.0,50.0
Zach Aston-Reese,CBJ,,,79,0:13:26,0.34,0.62,5.71,10.11,3.28,1.53,0.11,5.0,0:12:14,0.98,0.0,3.92,7.84,3.92,0.0,0.0,,,,,,,F,27,36,50,49,15,81,79,53,64,12,50,22,15,77,85,19,35.4,71.0,46.08,32.6,60.333333333333336,40.92
Vinni Lettieri,BOS,,,26,0:13:31,0.51,0.34,8.88,10.24,2.73,1.02,1.88,6.0,0:14:27,0.0,0.69,11.76,6.22,3.46,1.38,0.0,26.0,0:01:05,0.0,,,,F,41,18,1,82,38,82,68,38,13,43,50,89,15,69,81,59,36.0,62.66666666666666,44.0,42.0,69.66666666666667,50.3
Juuso Valimaki,UTA,,,43,0:16:33,0.17,0.25,3.37,1.94,4.13,1.18,0.0,,,,,,,,,,,,,,,,D,47,17,50,43,48,28,48,44,50,50,50,50,50,50,50,50,41.0,40.0,40.7,50.0,50.0,50.0
Kailer Yamamoto,UTA,,,12,0:12:06,0.83,0.41,5.37,3.72,1.65,0.83,0.83,6.0,0:12:45,0.78,0.78,7.05,3.92,0.78,0.0,0.0,,,,,,,F,65,22,50,44,25,39,36,32,55,48,50,60,15,52,23,19,41.2,35.666666666666664,39.54,45.6,31.33333333333333,41.31999999999999
Nicolas Hague,VGK,,,68,0:16:59,0.26,0.36,3.84,4.21,3.84,2.08,0.0,4.0,0:17:42,0.0,0.85,1.69,6.77,2.54,0.0,0.0,,,,,,,D,64,26,50,54,48,66,41,69,28,65,50,18,47,86,29,17,48.4,58.66666666666666,51.47999999999999,41.6,44.0,42.31999999999999
Jonah Gadjovich,FLA,,,42,0:08:27,0.68,0.0,7.27,21.3,3.55,10.14,0.51,7.0,0:11:07,0.0,0.0,10.02,21.58,3.85,20.81,0.0,,,,,,,F,54,4,50,69,21,96,83,99,13,12,50,82,15,97,85,99,39.6,92.66666666666669,55.52,34.4,93.66666666666669,52.18
Conor Timmins,"PIT, TOR",,,68,0:16:55,0.16,0.63,3.6,2.87,4.69,1.56,0.0,,,,,,,,,,,,,,,,D,45,51,50,49,48,46,60,56,50,50,50,50,50,50,50,50,48.6,54.0,50.22,50.0,50.0,50.0
